,group,total_commuters,longitude,latitude
0,0,20660,-71.09385726607374,42.35747625089341
1,1,478,-72.71377600176993,42.26123042000037
2,2,2319,-71.44277282266098,42.32750853512364
3,3,1093,-71.03202926322646,41.798506032487225
4,4,2818,-70.9265755744971,42.547380843050036
5,5,715,-70.49967653906273,41.777270179838
6,6,4976,-70.94318382818882,42.176248896231456
7,7,2380,-71.23082547538111,42.12366541779025
8,8,2475,-71.20059295648393,42.61927826462854
9,9,1130,-71.82069684377781,42.31976784442132
